#;Código;País;Partida;Descripción;Peso Neto Kg.;Valor FOB USD.;fechaInicio;fechaFinal
111;BE;Bélgica;811909900;LOS DEMÁS FRUTAS Y OTROS FRUTOS, SIN COCER O COCIDOS EN AGUA O VAPOR, CONGELADOS, SIN ADICIÓN DE AZÚCAR U OTRO EDULCORANTE.;2082882.8;6941769.55;01/01/2022;30/09/2022
112;BE;Bélgica;2616100000;MINERALES DE PLATA Y SUS CONCENTRADOS;2146830;6929959.61;01/01/2022;30/09/2022
113;ES;España;1801001900;CACAO EN GRANO, ENTERO O PARTIDO, CRUDO EXCEPTO PARA SIEMBRA;2882838.5;6900640.24;01/01/2022;30/09/2022
114;DE;Alemania;2817001000;ÓXIDO DE CINC (BLANCO O FLOR DE CINC);1973000;6811672.04;01/01/2022;30/09/2022
115;BE;Bélgica;803901100;BANANAS FRESCAS TIPO «CAVENDISH VALERY»;8853393.22;6650341.82;01/01/2022;30/09/2022
116;IT;Italia;7901120000;CINC SIN ALEAR, CON UN CONTENIDO DE CINC INFERIOR AL 99,99% EN PESO;1725452;6524595.37;01/01/2022;30/09/2022
117;ES;España;1803200000;PASTA DE CACAO DESGRASADA TOTAL O PARCIALMENTE;2425000;6523600;01/01/2022;30/09/2022
118;DE;Alemania;811909100;MANGO (MANGIFERA INDICA L.);3505766.59;6311943.48;01/01/2022;30/09/2022
119;NL;Países Bajos (Holanda);805501000;LIMONES (CITRUS LIMÓN, CITRUS LIMONUM) FRESCOS O SECOS.;3693312;6305331.1;01/01/2022;30/09/2022
120;ES;España;703100000;CEBOLLAS Y CHALOTES, FRESCOS O REFRIGERADOS;15363377.64;6264347.52;01/01/2022;30/09/2022
121;NL;Países Bajos (Holanda);708100000;ARVEJAS (GUISANTES, CHICHAROS) (PISUM SATIVUM) FRESCAS O REFRIGERADAS;1813946.5;6238640.15;01/01/2022;30/09/2022
122;ES;España;810400000;ARÁNDANOS ROJOS, MIRTILOS Y DEMÁS FRUTOS DEL GÉNERO VACCINIUM, FRESCOS;1260806.08;6153663.4;01/01/2022;30/09/2022
123;FR;Francia;804502000;MANGOS Y MANGOSTANES, FRESCOS O SECOS;2614827.6;6107704.65;01/01/2022;30/09/2022
